id,name,rating,room,type-of-room,beds,number-of-baths,shared-bath,host-id,host-name,neighbourhood-group,neighbourhood,latitude,longitude,room-type,price,minimum-nights,number-of-reviews,last-review,reviews-per-month,calculated-host-listings-count,availability-365,number-of-reviews-ltm,license
13158018,Serviced apartment in Madrid,4.58,1,Studio,2,1,0,51828290,Ramon,Usera,Almendrales,40.38572,-3.70329,Entire home/apt,46,7,26,30/10/2023,0.29,21,221,2,HM-4817
11960516,Serviced apartment in Madrid,4.67,1,Bedroom,2,1,0,51828290,Ramon,Usera,Moscardó,40.38665,-3.70248,Entire home/apt,46,7,45,10/11/2023,0.48,21,200,7,HM-4817
10789641,Loft in Madrid,4.34,1,Studio,1,1,0,45698435,Laura,Chamberí,Trafalgar,40.43121114,-3.701056241,Entire home/apt,46,2,125,11/11/2023,1.33,1,22,6,NA
9365719,Rental unit in Madrid,4.68,1,Bedroom,1,1,1,34808244,Paloma&Víctor,Centro,Universidad,40.4276,-3.70431,Private room,46,2,456,26/11/2023,4.63,1,335,35,NA
4075286,Rental unit in Madrid,4.52,1,Bedroom,1,1,1,8986611,Ana,Centro,Embajadores,40.40875,-3.71018,Private room,46,1,131,13/11/2023,1.17,1,70,32,NA
1055724,Rental unit in Madrid,4.86,1,Bedroom,1,2,0,5814460,Antonia,Chamberí,Arapiles,40.43542,-3.70755,Private room,46,2,35,29/11/2022,0.5,1,104,0,NA
668753,Rental unit in Madrid,4.85,1,Bedroom,1,1,0,3385307,Iguacel,Chamberí,Trafalgar,40.43287,-3.7007,Private room,46,4,81,29/1/2020,0.65,2,286,0,NA
451174,casa particular in Madrid,4.62,1,Bedroom,1,1,0,2240898,Alejandro,Chamberí,Almagro,40.434551,-3.698387,Private room,46,3,41,6/11/2023,0.6,1,0,20,NA
54219595,Rental unit in Madrid,4.46,1,Bedroom,1,1,1,308072278,Katherine,Centro,Embajadores,40.41208,-3.70212,Private room,45,1,65,28/8/2022,2.77,1,302,0,NA
54028267,Rental unit in Madrid,5,1,Bedroom,1,2,0,388501073,Rodrigo,Centro,Sol,40.41916,-3.70293,Private room,45,7,4,2/1/2023,0.23,11,365,1,NA
53567812,Rental unit in Madrid,4.75,1,Bedroom,1,1,1,425431123,Rudys Lanea,Moncloa - Aravaca,Ciudad Universitaria,40.45086,-3.71511,Private room,45,1,53,27/11/2023,2.15,1,323,24,NA
53523294,Rental unit in Madrid,4.92,1,Bedroom,1,1,0,211847679,Fernanda,Fuencarral - El Pardo,La Paz,40.47766495,-3.69669795,Private room,45,2,12,4/11/2023,0.49,1,1,6,NA
53488911,Rental unit in Madrid,4.21,1,Bedroom,2,1,1,433133944,Alberto,Ciudad Lineal,Ventas,40.42431259,-3.652798891,Private room,45,1,38,23/7/2023,1.52,2,348,12,NA
53400229,Condo in Madrid,3.88,1,Bedroom,1,1,0,343428667,Klevi,Centro,Justicia,40.42673,-3.70072,Private room,45,2,17,8/11/2023,0.97,6,365,7,NA
53087550,Loft in Madrid,4,1,Studio,1,1,0,407997386,Juan,Hortaleza,Canillas,40.46604,-3.64954,Entire home/apt,45,1,6,11/4/2023,0.24,5,303,4,NA
53035554,Condo in Madrid,4.63,1,Bedroom,1,1,0,23444591,Xi,Usera,Moscardó,40.386154,-3.706559,Private room,45,1,54,30/10/2023,2.08,5,357,17,NA
52716217,Rental unit in Madrid,4.52,1,Bedroom,1,1,1,200387664,Alexandru,Usera,Orcasitas,40.36667,-3.71462,Private room,45,3,29,4/7/2023,1.1,1,365,5,NA
52382148,Townhouse in Madrid,4.2,1,Bedroom,1,1,1,106947145,Lesley,Carabanchel,San Isidro,40.39397,-3.7246,Private room,45,15,5,10/7/2023,0.21,2,348,1,NA
52178867,Rental unit in Madrid,5,1,Bedroom,1,1,0,65697413,Jose,Latina,Puerta del Angel,40.41484,-3.72359,Entire home/apt,45,120,3,12/8/2023,0.25,4,196,3,NA
52018449,Rental unit in Madrid,4.96,1,Bedroom,1,1,0,421224952,Gabriela,Moratalaz,Marroquina,40.410156,-3.651743,Private room,45,3,80,10/10/2023,2.91,1,327,15,NA
51368390,Rental unit in Madrid,4.82,1,Bedroom,1,1,0,121490753,Sergio,Puente de Vallecas,San Diego,40.38464,-3.66604,Entire home/apt,45,15,11,12/10/2023,0.44,2,9,6,NA
51196484,Townhouse in Madrid,4.57,1,Bedroom,NA,1,0,24299274,Vanessa,Usera,San Fermín,40.37021,-3.68772,Entire home/apt,45,2,7,8/5/2023,0.26,2,106,1,NA
51161870,Rental unit in Madrid,4.72,1,Bedroom,1,1,0,22748203,Maria,Centro,Universidad,40.42431,-3.70504,Private room,45,1,80,2/12/2023,2.75,1,0,29,NA
48063944,Rental unit in Madrid,4.66,1,Bedroom,1,1,1,276606662,Verónica,Salamanca,Castellana,40.43192,-3.68532,Private room,45,1,144,14/12/2023,4.77,1,71,100,NA
45422181,Rental unit in Madrid,5,1,Bedroom,2,1,0,13099624,Jorge,Tetuán,Cuatro Caminos,40.44898,-3.69904,Entire home/apt,45,1,4,28/12/2020,0.11,1,0,0,NA
44628557,Rental unit in Madrid,4.89,1,Bedroom,1,1,1,342881239,Jennifer,Fuencarral - El Pardo,Pilar,40.4749,-3.71514,Private room,45,6,19,1/11/2023,0.48,1,157,10,NA
44334153,Condo in Madrid,4.33,1,Studio,1,1,0,265147782,Sleep,Retiro,Adelfas,40.4008,-3.67109,Entire home/apt,45,60,3,10/12/2022,0.08,31,17,0,NA
44084921,Rental unit in Madrid,4.44,2,Bedroom,1,1,1,871060,Gloria,Carabanchel,San Isidro,40.39534,-3.72118,Private room,45,1,25,12/11/2023,1.68,1,359,20,NA
43331911,Rental unit in Madrid,5,1,Bedroom,2,1,0,112373304,Daniel,Centro,Justicia,40.42339,-3.69982,Entire home/apt,45,1,3,20/12/2022,0.11,67,0,1,NA
42453488,Rental unit in Madrid,4.86,1,Bedroom,1,1,1,148565922,Isabel,Moratalaz,Marroquina,40.40984,-3.65269,Private room,45,1,50,10/11/2023,1.08,2,77,9,NA
42409194,Rental unit in Madrid,4.85,1,Bedroom,2,1,0,218709146,Isabel,Centro,Embajadores,40.41027,-3.70905,Entire home/apt,45,28,13,13/7/2023,0.53,2,181,5,NA
41307914,Rental unit in Madrid,4.89,1,Bedroom,1,1,1,324222052,Marisela,San Blas - Canillejas,Hellín,40.434,-3.61289,Private room,45,1,35,2/10/2023,0.74,1,180,24,NA
41307801,Rental unit in Madrid,4.8,1,Bedroom,1,2,1,311729076,Rachel,Hortaleza,Valdefuentes,40.4894,-3.66058,Private room,45,2,25,1/5/2023,0.53,3,6,4,NA
41187434,Rental unit in Madrid,4.28,1,Bedroom,1,1,0,107335103,Amazinn Places,Chamberí,Arapiles,40.43836,-3.71098,Private room,45,1,53,17/10/2023,1.11,115,357,2,NA
41167244,Rental unit in Madrid,4.28,1,Bedroom,1,1,0,107335103,Amazinn Places,Chamberí,Gaztambide,40.43642,-3.71187,Private room,45,1,47,22/2/2023,0.98,115,360,2,NA
41076977,Rental unit in Madrid,4.53,1,Bedroom,1,1,0,107335103,Amazinn Places,Chamberí,Arapiles,40.43641,-3.71029,Private room,45,1,76,12/10/2023,1.58,115,353,3,NA
40650882,Rental unit in Madrid,4.96,1,Bedroom,1,1,0,3953937,Marisa,Arganzuela,Palos de Moguer,40.40151,-3.69058,Private room,45,4,24,8/10/2023,0.49,1,42,10,NA
40338816,Rental unit in Madrid,5,1,Bedroom,2,2,1,311729076,Rachel,Hortaleza,Valdefuentes,40.48815,-3.66239,Private room,45,2,31,10/12/2023,0.66,3,6,5,NA
39876013,Rental unit in Madrid,4,1,Bedroom,1,1,0,306574610,Willian,Moratalaz,Marroquina,40.41063,-3.65184,Private room,45,1,3,27/11/2023,2.65,1,0,3,NA
39078851,Rental unit in Madrid,5,1,Bedroom,1,1,1,239454634,Dionis,Fuencarral - El Pardo,Peñagrande,40.48246,-3.72027,Private room,45,2,6,6/3/2020,0.12,1,0,0,NA
39040283,Rental unit in Madrid,4.68,1,Bedroom,1,1,1,235843854,Maureen,San Blas - Canillejas,Rejas,40.44731,-3.59563,Private room,45,1,37,22/10/2023,0.72,4,35,6,NA
38944212,Rental unit in Madrid,4.73,1,Bedroom,1,1,0,24663738,Angelita Daniela,Centro,Justicia,40.42089,-3.69924,Private room,45,6,22,28/6/2023,0.45,1,355,8,NA
38326555,Rental unit in Madrid,4.87,1,Bedroom,1,1,0,186619072,Carmen,Fuencarral - El Pardo,Pilar,40.47495,-3.70819,Private room,45,1,140,12/12/2023,2.7,1,342,64,NA
36955233,Rental unit in Madrid,5,1,Bedroom,1,2,1,3243497,Marta,Chamberí,Trafalgar,40.43453,-3.70132,Private room,45,2,11,2/7/2023,0.34,1,0,4,NA
36872262,Loft in Madrid,4.46,1,Bedroom,NA,1,0,17556638,Maria Jesús & Jorge,Puente de Vallecas,Portazgo,40.38717,-3.65275,Entire home/apt,45,2,68,3/12/2023,1.29,6,299,16,NA
36110676,Guest suite in Madrid,4.46,1,Bedroom,3,1,0,271628345,Gabriela,Salamanca,Guindalera,40.43732,-3.67314,Private room,45,2,70,3/12/2023,1.29,1,354,20,NA
34390286,Serviced apartment in Madrid,4.67,7,Bedroom,1,4,1,75150135,Estuhome,Chamberí,Arapiles,40.43089,-3.70955,Private room,45,15,3,7/7/2022,0.16,19,195,0,NA
33960071,Rental unit in Madrid,4.5,1,Bedroom,1,1,1,94627983,Mar,Tetuán,Valdeacederas,40.46771,-3.70031,Private room,45,5,26,1/10/2023,0.47,5,351,5,NA
32865734,Home in Madrid,4.47,1,Bedroom,1,1,1,39219568,Tuna,Centro,Embajadores,40.41156,-3.70368,Private room,45,2,59,2/7/2023,1.02,1,257,6,NA
31659379,Rental unit in Madrid,4.43,1,Bedroom,2,1,0,112373304,Daniel,Centro,Embajadores,40.41238,-3.70021,Entire home/apt,45,1,14,16/11/2023,0.27,67,203,7,NA
30196134,casa particular in Madrid,4.9,1,Bedroom,2,2,1,226818118,Paula,Chamberí,Almagro,40.43376,-3.69445,Private room,45,1,29,7/5/2023,0.47,1,32,2,NA
30124982,Townhouse in Madrid,4.89,1,Bedroom,1,1,1,224688190,Eugenia,Puente de Vallecas,Palomeras Bajas,40.38787,-3.66058,Private room,45,4,37,29/10/2023,0.61,1,0,4,NA
29791157,Loft in Madrid,4.97,1,Bedroom,2,1,0,51682515,Luis,Villaverde,Los Rosales,40.35661,-3.69116,Entire home/apt,45,1,37,7/3/2020,0.7,1,0,0,NA
23521086,Rental unit in Madrid,4.99,1,Bedroom,NA,1,1,17968917,Eva Y Gloria,Latina,Puerta del Angel,40.40772,-3.73302,Private room,45,3,95,2/12/2023,1.37,2,250,28,NA
21654281,Rental unit in Madrid,4.9,1,Bedroom,1,1,0,157612319,Leo,Ciudad Lineal,Ventas,40.42531,-3.65433,Private room,45,1,87,10/12/2023,1.27,1,8,36,NA
21641319,Rental unit in Madrid,4.84,1,Bedroom,1,1,1,157489922,Mira,Centro,Embajadores,40.40788,-3.70635,Private room,45,1,113,26/11/2023,1.52,1,5,25,NA
21158218,Home in Madrid,4.5,1,Bedroom,1,1,0,23444591,Xi,Usera,Moscardó,40.38728,-3.70598,Private room,45,1,115,19/11/2023,1.53,5,356,25,NA
20878513,Rental unit in Madrid,4.9,1,Bedroom,1,1,0,27110709,Sara,Salamanca,Fuente del Berro,40.42761,-3.66518,Private room,45,1,40,27/3/2022,0.53,1,1,0,NA
20180442,Guesthouse in Madrid,4.91,1,Bedroom,1,1,1,143668307,Yacine,San Blas - Canillejas,Arcos,40.42377,-3.6133,Private room,45,1,23,21/9/2023,0.44,1,179,6,NA
19550119,Rental unit in Madrid,4.92,1,Bedroom,1,1,1,137328910,Lara,Centro,Palacio,40.41218,-3.70915,Private room,45,3,110,4/12/2023,1.44,1,71,17,NA
19230832,Home in Madrid,4.59,1,Studio,1,1,0,23444591,Xi,Usera,Pradolongo,40.38554,-3.70601,Private room,45,1,63,26/11/2023,0.99,5,0,35,NA
18475379,Rental unit in Madrid,4.88,1,Bedroom,1,1,0,110651397,Leo,San Blas - Canillejas,Arcos,40.42185,-3.61892,Private room,45,3,42,6/11/2023,0.55,2,362,11,NA
17166723,Rental unit in Madrid,4.87,1,Bedroom,1,1,1,100634083,Marina,Salamanca,Castellana,40.4331,-3.68356,Private room,45,1,375,13/12/2023,4.5,2,1,87,NA
